index,name,type,breakfast,main_dish,calories,carbs,fats,proteins,saturated_fats,sugar,value_ser1,value_ser2,avg_val
60,Creamy Grits with Rosemary Bacon,Appetizers,0,0,217.46556000000004,10.627175,15.80093125,8.52970625,7.0474950000000005,1.81,0,0,0
61,Spiced Lemon Rice,Appetizers,0,0,346.54376,57.02517999999999,10.65168,6.75972,1.50216,1.14,0,0,0
62,Cranberry Chutney,Appetizers,0,0,415.49464738194,90.55287267726,7.265885000849999,1.05426566679,0.4843923333899999,26.15,0,0,0
63,Parsleyed Potatoes with Saffron,Appetizers,0,0,707.3981775000003,149.17920750000005,7.076812500000001,17.833567499999994,3.963015,1.28,0,0,0
64,Candied Sweet Potatoes,Appetizers,0,0,290.074674375,46.6050525,11.558424374999998,1.686570625,7.303314999999999,19.88,0,0,0
65,Mango Salsa,Appetizers,0,0,157.55460000000005,39.731159999999996,0.9226800000000002,2.90784,0.1957200000000001,10.78,0,0,0
66,Smoked Salmon and Egg Tortilla,Appetizers,0,1,566.35626661152,33.5486666634,34.370266663319995,32.45319999684,7.4286333326100005,0.77,0,0,0
67,Easy Chicken Taquitos,Appetizers,0,1,100.443189992934,10.940811665897,3.165206666444,7.202266666160001,1.032956666594,0.47,0,0,0
68,Apple,Appetizers,1,0,94.64,25.134200000000003,0.3094,0.4732,0.0546,10.39,0,0,0
69,Salmon Wrapped Avocado,Appetizers,0,1,486.11331339146005,12.042720001440001,40.253906671479996,21.799553335939997,7.1364266675199985,1.38,0,0,0
70,Acorn Squash,Appetizers,0,0,171.31452,31.28916,5.9752800000000015,1.78332,3.68244,3.77,0,0,0
71,Cinnamon Apple Bites,Appetizers,1,0,80.50080000000001,21.60213,0.2272200000000001,0.4869000000000001,0.03246,10.04,0,0,0
72,Cream Cheese and Tomato Toast,Appetizers,0,0,220.268685,30.5214,6.743099999999999,10.238865,3.176355,3.68,0,0,0
73,Peanut Butter & Celery,Appetizers,0,0,208.96,10.704,16.208000000000002,8.576,2.4800000000000004,2.75,0,0,0
74,Simple Rosemary Chicken Breast,Appetizers,0,1,350.72994,1.6680400000000004,13.22167,53.25463000000001,2.4039400000000004,0.02,0,0,0
75,Eggplant Pizza,Appetizers,0,1,35.63555625000001,2.1817687500000003,2.1471375000000004,2.095190625,0.8865600000000001,2.42,0,0,0
76,Quinoa-Fennel Pilaf,Appetizers,0,0,107.2355125,17.429884375,2.832503125,3.561196875,1.093040625,1.65,0,0,0
77,Egyptian Feta Cheese Omelet Roll,Appetizers,1,1,244.889464,1.7642079999999998,19.580224,14.710016,5.764735999999999,0.87,0,0,0
78,Thyme roasted sweet potatoes,Appetizers,0,0,145.11786333823102,19.921236667339002,7.0223100002370025,1.7580466667260002,1.0172966667010002,3.76,0,0,0
79,Divine Asparagus,Appetizers,0,0,112.64959875,12.23483625,5.9175024999999986,2.22763125,3.7012949999999996,1.34,0,0,0
80,Penne with Roasted Asparagus and Balsamic,Appetizers,0,1,543.62963093502,60.714159594689995,29.136381255450004,14.060308752629998,16.323501669720002,3.28,0,0,0
81,Cream-Braised Brussels Sprouts,Appetizers,0,0,186.59025412463,11.03769166418,15.43205416319,4.3351791656900005,9.52851666452,2.15,0,0,0
82,Creamed Peas and Onions,Appetizers,0,0,111.40603,9.695495,6.86610625,3.4837424999999995,4.2579075,2.53,0,0,0
83,Cheesy Cucumber and Tomato Snack Stacks,Appetizers,0,0,59.2963,2.71005,2.0909,7.3485999999999985,1.2383,1.56,0,0,0
84,Bagel Pizza,Appetizers,0,0,196.118,30.855240000000002,3.5666800000000003,9.40576,1.61044,1.95,0,0,0
85,Spooky Chicken,Appetizers,0,1,500.78574000000003,26.827807500000002,15.821527499999998,61.41351375,4.47130125,0.96,0,0,0
86,Broiled Arctic Char with Basil Sauce and Tomato,Appetizers,0,1,587.5091500000002,18.013430000000003,53.173535,19.181665,7.499315000000001,1.17,0,0,0
87,Colcannon,Appetizers,0,0,470.5179,72.70944,16.44132,11.94804,10.05882,1.44,0,0,0
88,Parmesan Wafers,Appetizers,0,0,82.30513671875,3.353515625,5.22951171875,5.42875,2.8840234375,0.08,0,0,0
89,Cheesy Salsa Rice,Appetizers,0,0,304.58624,40.468959999999996,10.99952,11.48896,5.74448,1.17,0,0,0
90,Asparagus with Horseradish Butter,Appetizers,0,0,141.46868750000004,9.432875,10.899125,5.131875,5.131875,1.92,0,0,0
91,Roasted Cherry Tomatoes with Mint,Appetizers,0,0,52.74356625,5.2819565625000005,3.3946387500000004,1.1019909375,0.4686628125,0.0,0,0,0
92,Grated Potato Dumplings,Appetizers,0,0,397.853025,88.344825,0.6428,10.68655,0.120525,0.74,0,0,0
93,Chicken Tostadas,Appetizers,0,1,345.06789000000015,21.791295,17.964150000000004,25.332055000000004,7.003415000000001,0.95,0,0,0
94,"Broiled, Marinated Eggplant",Appetizers,0,0,91.77220200000001,13.945617000000002,3.790098,2.656308,0.291546,5.82,0,0,0
95,Deli Beef and Sharp Cheddar Roll-Ups,Appetizers,0,1,69.99992999999999,1.0842975000000001,5.4054,4.5270225,2.8153125,0.58,0,0,0
96,Spicy roasted chickpeas,Appetizers,0,0,223.432275,25.077975,10.5720875,9.0969125,1.323875,0.04,0,0,0
97,Black Olives with Cheddar,Appetizers,0,0,192.38037,4.5768450000000005,16.75947,7.3764600000000025,6.449625,0.08,0,0,0
98,Asparagus with Butter,Appetizers,0,0,86.61445187499999,4.476040625,7.33334875,2.57525625,4.610935,1.74,0,0,0
99,Snap Peas and Carrots,Appetizers,0,0,154.89625799,23.84856483150001,6.175379448500001,2.524740769,3.7188749165000017,4.24,0,0,0
100,Easy Eggplant,Appetizers,0,0,81.18973333052399,12.263233332909,2.9092666665660003,2.2060333332570004,0.5105666666490001,3.77,0,0,0
101,Butternut Squash Fries,Appetizers,0,0,102.03578,26.508405,0.22715,2.2715,0.045430000000000005,2.2,0,0,0
102,Grilled Herbed Poussins,Appetizers,0,0,373.5741165625,1.52551875,18.1790984375,48.1809671875,3.4832678125000003,0.01,0,0,0
103, Fool-proof Stuffed Mushrooms,Appetizers,0,0,15.690917496783,0.806413333168,1.037281666454,0.946234999806,0.606435833209,3.28,0,0,0
104,"Deli Roast Beef , Red Bell Pepper and Provolone Lettuce Wrap",Appetizers,0,1,231.44313,5.072835,16.278104999999996,16.291349999999998,9.788054999999998,1.44,0,0,0
105,Cheese Ball and Celery,Appetizers,0,0,595.812,60.6711,7.0238,71.5701,3.0275,2.81,0,0,0
106,Roasted Garlic,Appetizers,0,0,124.2618,9.9177,9.1494,1.9071,1.2714,0.77,0,0,0
107,Famous Coconut-Almond Balls,Appetizers,0,0,149.57994057327102,15.982876730378996,10.381150961285,1.2003698076629998,7.510975384431997,30.79,0,0,0
108,Crisp Potato and Bacon Casserole,Appetizers,0,0,206.01108125,28.221915625,8.350838125000001,5.128019999999999,2.332536875,0.78,0,0,0
109,Danish Red Cabbage,Appetizers,0,0,152.00400586139,37.18382417353,0.07223666667999999,0.66818916679,0.018059166669999998,19.51,0,0,0
110,Corn Thins and Avocado ,Appetizers,0,0,252.96292000000003,24.63342,14.727720000000001,4.0121199999999995,2.13066,0.53,0,0,0
111,Roasted Chick Peas,Appetizers,0,0,270.857475,32.3736,11.449199999999998,11.819325,1.4311499999999997,0.0,0,0,0
112,Olive Oil Mashed Potatoes,Appetizers,0,0,323.90124375,37.369606875,18.17980875,4.36879125,2.5367175,0.72,0,0,0
113,Cooked Artichokes,Appetizers,0,0,123.873990625,24.2947359375,3.7911453125,6.146590625,0.5608203125,0.71,0,0,0
114,Roasted Brussels Sprouts with Caraway Seeds,Appetizers,0,0,117.166279875,7.780795125,9.295305125,2.934363125,1.2967991875,1.97,0,0,0
115,Grilled Brown-Sugar Peaches with White Chocolate,Appetizers,0,0,295.45015925,31.30230475,18.968776000000002,3.5184019999999996,10.325745,14.64,0,0,0
116,Delicious Artichokes,Appetizers,0,0,296.00659499999995,19.341105,23.69244,5.8569299999999975,14.75814,1.06,0,0,0
117,Cream Puff Shells,Appetizers,0,0,143.451376674674,8.097580000452004,10.635538333927,3.7143766668739997,2.8126550001569997,0.18,0,0,0
118,Veggie Detox,Appetizers,0,0,158.495248,36.476728,1.177856,4.711424,0.147232,5.37,0,0,0
119,"Portobello Mushroom Caps with Feta, Tomato, and Mint",Appetizers,0,1,313.4001,25.908382500000002,20.76516,11.9688075,6.2968425,3.37,0,0,0
120,Cheese On Toast,Appetizers,1,0,257.03282,18.276632,15.051344000000002,12.292874000000001,8.218826,3.84,0,0,0
121,Turkey Lettuce Rollups,Appetizers,0,1,59.44939,2.66266,1.3013,9.14914,0.18018,2.07,0,0,0
122,Brie cheese on bread,Appetizers,1,0,204.125775,18.027295,9.59421,11.405565,5.29473,4.16,0,0,0
123,Warm Tofu with Spicy Garlic Sauce,Appetizers,0,0,73.35735825,2.52315575,5.1320845,5.7110522500000025,0.7290705000000001,0.63,0,0,0
124,"Baked Cashew ""Goat Cheese""",Appetizers,0,0,100.91635306469699,2.726311356961,9.80872428506,1.535557928469,1.096521142784,2.54,0,0,0
125,Roasted asparagus,Appetizers,0,0,68.75653125,4.6550625,5.19605625,2.6420625,0.754875,1.79,0,0,0
126,Fried Broccoli,Appetizers,0,0,59.886022,5.530122,3.7458305,3.2022715,0.5081095,1.29,0,0,0
127,Avocado Hummus,Appetizers,0,0,323.0702550000001,41.69137500000001,13.720252499999999,12.5579475,1.768725,2.56,0,0,0
128,Easy Fried Spinach,Appetizers,0,0,178.05508744947,4.768808331979999,17.395579161729998,3.0539166657999997,5.532287498430001,0.37,0,0,0
129,Baked Buffalo Cauliflower Wings,Appetizers,0,1,351.933570625,49.281968125,13.621310625,7.059219375,3.479896875,1.25,0,0,0
130,Guacamole on Tostada,Appetizers,1,0,192.059415,18.564195,13.523130000000002,2.85603,2.3226750000000003,1.64,0,0,0
131,Mozzarella Sticks,Appetizers,0,0,596.4447329999998,10.96212,35.985267,56.32843199999999,22.156131,0.86,0,0,0
132,Zucchini Peanut Noodles,Appetizers,0,1,503.690715,59.9135625,24.45168,14.5529175,4.5499575,2.41,0,0,0
133,Beef Nachos,Appetizers,0,0,591.4824562500003,27.605602500000003,37.857347499999996,34.55332125,12.691166250000002,1.5,0,0,0
134,Camembert on Garlic Bread,Appetizers,1,0,362.317415,53.47286500000001,9.318145,16.677265,4.8549750000000005,3.34,0,0,0
135,Leftover Mashed Potato Quesadilla,Appetizers,0,0,431.4282,51.8192,15.1232,20.85,8.34,1.48,0,0,0
136,Vegan Mexican Tortilla Roll Ups,Appetizers,0,1,404.562375,65.939125,10.055325,14.5348,1.7228750000000002,2.47,0,0,0
137,Roasted Sweet Potato Wedges with Avocado Chimichurri,Appetizers,0,1,439.62107875,33.02710249999999,34.41239374999999,3.6501324999999993,4.7935475,2.21,0,0,0
138,Avocado with Cottage Cheese and Balsamic Glaze,Appetizers,1,0,203.68012500000003,14.919375,15.369000000000002,4.9731250000000005,2.4933750000000003,1.32,0,0,0
139,Creamed Scallions,Appetizers,0,0,115.63878173088005,6.323310941880001,9.928803662640004,1.9397331658800008,6.115090997520001,2.26,0,0,0
140,Garlic Knots,Appetizers,0,0,55.83383750000001,4.915775,3.5370000000000004,1.2887125,0.5714875,0.15,0,0,0
141,Sesame-Cilantro Rice,Appetizers,0,0,234.74788000293603,40.803701667177,5.765643888961001,4.7795322222820005,0.915040555567,0.95,0,0,0
142,Garlic-Parmasan Knots,Appetizers,0,0,236.0835,5.658,20.18825,8.94125,10.67775,0.91,0,0,0
143,Roasted Carrots and Parsnips with White Balsamic,Appetizers,0,0,155.37560950947002,25.498180056930003,5.885575692240001,1.8841019746500005,0.8254161031800001,4.78,0,0,0
144,Date Energy Bars,Appetizers,1,0,188.47853999999998,33.950880000000005,6.451919999999999,2.9754,1.26324,48.31,0,0,0
145,Smoked Almond & Goat Cheese Stuffed Dates,Appetizers,0,0,114.416186,18.394922,4.027584,3.135108,1.7506259999999998,41.83,0,0,0
146,Vegan White Bean Pate,Appetizers,0,0,224.96000475,32.340565000000005,7.336964,9.77457375,1.08606375,1.75,0,0,0
147,Tomato Gratin,Appetizers,0,0,906.8464899414901,95.93880999381001,44.430466663800004,33.736156664490004,11.83090333257,3.01,0,0,0
148,Roasted Fingerling Potatoes with Chive Pesto,Appetizers,0,0,303.79119872446995,25.980182671610002,21.425329337410002,3.57380800068,2.9080986672199995,0.76,0,0,0
149,Roasted Potato Wedges with Cilantro-Lime Mayonnaise,Appetizers,0,0,354.1983375,41.734575,19.066972500000002,5.510055,3.7370175,1.05,0,0,0
150,Eggplant Marinara Flatbread,Appetizers,0,0,293.1756375,25.56147,16.867365,10.8776475,5.36871,3.66,0,0,0
151,Tomato and Cheese Mini Quiche,Appetizers,0,0,44.42748,3.73987125,2.5931062500000004,1.7330325,0.8826225000000001,2.22,0,0,0
152,Artichokes,Appetizers,0,0,182.554485,18.052670000000006,11.789864999999999,5.616785,7.339505,0.91,0,0,0
153,Egg and Asparagus Scramble,Appetizers,1,1,193.6995,5.7597,14.32035,11.00655,2.899575,1.64,0,0,0
154,Vegetable Latkes,Appetizers,0,1,405.2035,45.443125,22.072375,9.143875,2.2100000000000004,1.84,0,0,0
155,Cream Cheese Pickles,Appetizers,0,1,152.40526875,8.6436375,9.9279515625,7.868971875,5.7080625,2.42,0,0,0
156,Steamed Beets with Tarragon,Appetizers,0,0,65.8873287,8.995108799999997,3.0321627,1.4930406,1.84326,6.73,0,0,0
157,Tomato and Feta Bruschetta,Appetizers,1,0,504.91848,82.67688000000003,10.48344,20.41512,4.73352,3.76,0,0,0
158,Asparagus with Brie,Appetizers,0,0,657.89666175,17.58489625,52.31160475,32.20666825,29.9635555,1.27,0,0,0
159,Parmesan Potatoes,Appetizers,0,0,409.56261,47.26218,21.67257,8.91642,13.29732,0.67,0,0,0
160,Cauliflower Tots,Appetizers,0,0,140.72445,12.0009,6.940575,7.7172,3.392625,2.07,0,0,0
161,Broccoli and Cheese Tots,Appetizers,0,0,192.96116662571998,15.708333330000002,9.91195833123,11.85979166415,4.44545833239,0.82,0,0,0
162,Garlicky Beet Delight,Appetizers,0,0,146.05884749999996,12.2756625,10.3517575,2.0818375,1.4213924999999998,5.8,0,0,0
163,Roasted Fennel and Baby Carrots,Appetizers,0,0,114.94238614518,12.92789791425,7.079138582010001,1.58701091637,1.01640024981,3.99,0,0,0
164,Peanut butter and Tomato Toast,Appetizers,0,0,296.69355,27.18783,17.382779999999997,12.976560000000001,2.71152,3.58,0,0,0
165,Spiced Honey Pretzels,Appetizers,0,1,284.946048,57.00537300000001,3.2841089999999995,6.935567999999999,0.6171479999999999,8.86,0,0,0
166,Fried Potatoes and Cabbage,Appetizers,0,0,262.483625,25.113899375,17.39510125,4.22643125,10.921988125,1.29,0,0,0
167,Roasted Potato Wedges with Rosemary Butter,Appetizers,0,0,247.48793125,37.33712375,9.59325375,4.36875875,3.46798375,0.74,0,0,0
168,Sesame Wonton Crisps,Appetizers,0,0,24.706885582027297,2.8407779165165,1.2428797499342998,0.6047294166346999,0.132422499993,0.0,0,0,0
169,"Blue Cheese, Pecan & Cranberry Stuffed Celery",Appetizers,0,0,238.23492000000002,10.640532,18.8210295,8.804333999999997,7.0976115,5.48,0,0,0
170,Plain Popcorn,Appetizers,0,0,64.1636953125,6.4775484374999985,3.8820796875,0.9627953125,0.284265625,0.65,0,0,0
171,Easy Sautéed Eggplant ,Appetizers,0,0,126.7004,1.7016800000000003,13.54224,0.29548,1.87256,2.07,0,0,0
172,Chicken Jalapeno Poppers,Appetizers,0,0,287.63051672497994,5.310658334409999,20.305458337449995,18.64485000378,8.204391668329999,2.15,0,0,0
173,Sweet and Spicy Green Beans,Appetizers,0,0,58.212091,8.2666305,2.4888779999999997,2.2617185,0.217283,4.32,0,0,0
174,Sliced bell pepper,Appetizers,0,0,36.89,7.1757,0.35700000000000004,1.1781,0.0357,4.2,0,0,0
175,Sea Salt Edamame,Appetizers,0,0,146.99563999999995,11.054039999999999,6.7970799999999985,12.9516,0.7831199999999999,0.0,0,0,0
176,"Loaded Cauliflower ""Mash"" Bake",Appetizers,0,0,585.80755214375,12.055515417910001,51.19554000528,20.42650333544,18.7458416686,1.74,0,0,0
177,Roasted Green Beans,Appetizers,0,0,122.33428374999998,14.116296249999998,7.193681249999999,3.69067125,1.0425624999999998,3.13,0,0,0
178,Roasted Potatoes with Lemon Salt,Appetizers,0,0,268.18194375,42.784481250000006,9.220575,4.99025625,1.29189375,0.75,0,0,0
179,Sautéed Chickpeas with Broccoli and Parmesan,Appetizers,0,1,300.20725440297,38.639475003600005,11.41295604273,16.099781251499998,2.3613012502200004,2.32,0,0,0
180,Garlic Dill New Potatoes,Appetizers,0,0,301.3850290000001,54.58374900000001,7.3970270000000005,6.5907160000000005,4.487296,1.25,0,0,0
181,Zucchini Boats,Appetizers,0,0,145.09923750000004,6.5205,9.9437625,8.4947625,5.5786500000000006,2.34,0,0,0
182,Tomato and Mozzarella Portabella,Appetizers,0,0,171.37915829589997,5.646508332100001,13.4295333304,8.469762498149999,4.715597498969999,2.11,0,0,0
183,Asparagus with Sliced Almonds and Parmesan Cheese,Appetizers,0,0,146.61345003623995,6.311175001559999,11.624429169539995,6.7292229183300005,5.13794375127,1.87,0,0,0
184,Pan Fried Corn,Appetizers,0,0,225.0379,26.82477,13.436039999999998,4.82562,7.758839999999997,5.69,0,0,0
185,Butternut Squash and Ginger Relish,Appetizers,0,0,163.63828125,40.7578125,0.31796875,2.63046875,0.0578125,6.21,0,0,0
186,Grilled Zucchini Spears,Appetizers,0,0,117.60828749999996,10.685647499999998,7.873634999999997,4.0691475,1.2240524999999998,2.45,0,0,0
187,Easy Lima Beans,Appetizers,0,0,76.37665000000001,13.026475,1.10215,4.0803,0.16415000000000002,0.55,0,0,0
188,Baked Zucchini Fritters,Appetizers,1,1,89.74089249999999,3.0559025,5.925185,6.5783549999999975,3.5691075,1.79,0,0,0
189,Wilted Spinach with Nutmeg Butter,Appetizers,0,1,117.97101739450001,8.451795922999999,8.215712238,6.5867348114999995,4.816107174,0.41,0,0,0
190,Sweet-and-Sour Celery,Appetizers,0,0,87.529745625,10.213266875,5.2675875,0.8340346875,0.7462415625000001,5.48,0,0,0
191,Salmon and Avocado Ceviche,Appetizers,0,0,315.87808962644993,15.262760418749998,17.094291669,27.424127920409997,3.71190333384,2.17,0,0,0
192,Sesame Coconut Chicken Fingers with Minty Yogurt Dip,Appetizers,0,0,432.748008,17.039554000000006,28.028245000000002,29.040095,4.6342729999999985,1.68,0,0,0
193,Italian Green Beans and Potatoes,Appetizers,0,0,360.958875,45.7111,18.43635,6.4907,2.6239000000000003,1.55,0,0,0
194,Dry-Curried Green Beans,Appetizers,0,0,87.34661375,8.136988749999999,6.084739375,2.1602625,3.708450625,2.05,0,0,0
195,Skillet Corn Bread,Appetizers,0,0,181.001485,21.83088125,8.342693749999999,5.4552225,4.4760800000000005,4.34,0,0,0
196,Skillet Potatoes with Olives and Lemon,Appetizers,0,0,318.444345,58.61241500000001,8.386014999999999,6.950975,1.210815,0.99,0,0,0
197,Grilled Potato Smash,Appetizers,0,1,401.74632670488,67.56515333976,9.859092223160001,15.37270777924,1.44849222236,1.1,0,0,0
198,Spiced Baby Potatoes with Bacon and Dill,Appetizers,0,0,402.04695410381004,36.45862499430001,24.32707082953,10.020791665099999,6.6947416656200005,1.09,0,0,0
199,Artichoke & tomato bake,Appetizers,0,1,172.48386835531002,32.335820004119995,3.68879500047,6.64506333418,0.60171833341,2.25,0,0,0
